Field Name,Currently Included,Null %,Unique Values,Category,Sample Values,Recommendation,Reason
"Client Number of Children",Yes,81.91,9,MEANINGFUL,"1, 2, 3",KEEP,18% coverage with family size data
"Client Number of Vehicles",Yes,85.86,10,MEANINGFUL,"2, 3, 8",KEEP,14% coverage with vehicle ownership
"Client Outdoors Interest",Yes,90.88,9,MEANINGFUL,"6, 4, 9",CONSIDER,9% coverage - sparse but potentially valuable
"Client Primary Email",Yes,9.03,508819,MEANINGFUL,"dmeyers@wyoming.com, ted@cnoteoffice.com, Dave.spackman@jhsir.com",KEEP,91% coverage - essential contact field
"Client Primary Phone",Yes,87.18,60637,MEANINGFUL,"307-690-9547, 612-220-8076, 307-690-3290",KEEP,13% coverage with contact data
"Client Technology Interest",Yes,90.67,9,MEANINGFUL,"1, 3, 6",CONSIDER,9% coverage - sparse but potentially valuable
"Client Travel Interest",Yes,75.64,2,MEANINGFUL,"0, 1",KEEP,24% coverage with interest indicator
"Client Urbanicity",Yes,65.28,4,MEANINGFUL,"1. Rural, 4. Urban, 3. Suburban",KEEP,35% coverage with urban/rural classification
"Full Name",Yes,0.00,493054,MEANINGFUL,"Dave Meyers, Theodore Staryk, Dave Spackman",KEEP,Complete coverage - essential name field
"Realm Data Lifestyle Names",Yes,78.28,726,MEANINGFUL,"farm_ranch, mountains; entertain, family_estate",KEEP,22% coverage with lifestyle preferences
"Realm Data Lifestyles",Yes,77.08,752,MEANINGFUL,"farm_ranch, mountains; entertain, family_estate",KEEP,23% coverage with lifestyle data
"Realm Data Max Price",Yes,56.32,27818,MEANINGFUL,"0, 2625000, 431375",KEEP,44% coverage with price range data
"Realm Data Owner Agent",Yes,0.19,638,MEANINGFUL,"5b6c6b3f9e89b41f53e0e069, 5ca5254ff924ad305e7f33dd, 5b6c6b419e89b41f53e0e1c2",DISABLE,Raw ObjectId field - use Full Name instead
"Realm Data Owner Agent Full Name",Yes,0.75,599,MEANINGFUL,"Julie Faupel, Emily Eldredge, Richard Lewis",KEEP,99% coverage - agent name field
"Realm Data Owner Agent Person",Yes,0.75,599,MEANINGFUL,"5b6c6b3f9e89b41f53e0e068, 5beb22790c1b8ad599846415, 5b6c6b419e89b41f53e0e1c1",DISABLE,Raw ObjectId field - use Full Name instead
"Realm Data Owner Agent Realm Data Client Count",Yes,0.75,12,MEANINGFUL,"3593, 0, 1545",KEEP,99% coverage - agent activity metric
"Realm Data Owner Agent Realm Data Listing Count",Yes,49.28,41,MEANINGFUL,"85, 8, 61",KEEP,51% coverage - agent listing activity
"Realm Data Owner Agent Subscription",Yes,1.82,559,MEANINGFUL,"5d02ba07f000318ce53bad7b, 6042730ca6028d00072afae5, 5d0d230885817f8357e8a6b3",DISABLE,Raw ObjectId field - technical identifier
"Realm Data Owner Team",Yes,88.31,62,MEANINGFUL,"5c9e8520ffbec5380fd6754c, 5d8d3a25ba0be851a4d6ebeb, 5ca52f754c5e5faa929d21ab",DISABLE,Raw ObjectId field - use Display Name instead
"Realm Data Owner Team Display Name",Yes,89.53,56,MEANINGFUL,"Graham Faupel Mendenhall, The Wards, Christy & Garth Gillespie",CONSIDER,10% coverage but useful team names
"Realm Data Owner Team Leader",Yes,89.53,55,MEANINGFUL,"5c4ba9e8e3e54a1813c00065, 5d5c2c0db7624c6a5ca3b18d, 5ca5290931f5615cefc5fdb7",DISABLE,Raw ObjectId field - technical identifier
"Realm Data Owner Team Name",Yes,89.53,56,MEANINGFUL,"Graham-Faupel-Mendenhall, Jeff &amp; Kelli Ward, Christy & Garth Gillespie",CONSIDER,10% coverage but useful team names
"Realm Data Owner Team Tier",Yes,89.64,3,MEANINGFUL,"M, S, L",CONSIDER,10% coverage with team tier classification
"Realm Data Tag Names",Yes,52.73,69173,MEANINGFUL,"fish, hiking, hunt...; car_collector, outdoors...",KEEP,47% coverage with detailed interest tags
"Realm Data Tags",Yes,50.45,398,MEANINGFUL,"Hobbies & Interests, Sports; Hobbies & Interests, Price, Sports",KEEP,50% coverage with tag categories
"Status Intent",Yes,56.09,2,MEANINGFUL,"Active, Inactive",KEEP,44% coverage with activity status
